Dist code,Total,male,female
UP_Unnao,3108367,1630087,1478280
UP_Varanasi,3676841,1921857,1754984
UT_Almora,622506,291081,331425
UT_Bageshwar,259898,124326,135572
UT_Chamoli,391605,193991,197614
UT_Champawat,259648,131125,128523
UT_Dehradun,1696694,892199,804495
UT_Haridwar,1890422,1005295,885127
UT_Nainital,954605,493666,460939
UT_Pauri Garhwal,687271,326829,360442
UT_Pithoragarh,483439,239306,244133
UT_Rudraprayag,242285,114589,127696
UT_Tehri Garhwal,618931,297986,320945
UT_Udham Singh Nagar,1648902,858783,790119
UT_Uttarkashi,330086,168597,161489
WB_Bankura,3596674,1838095,1758579
WB_Birbhum,3502404,1790920,1711484
WB_Cooch Behar,2819086,1451542,1367544
WB_Dakshin Dinajpur,1676276,857199,819077
WB_Darjeeling,1846823,937259,909564
WB_Hooghly,5519145,2814653,2704492
WB_Howrah,4850029,2500819,2349210
WB_Jalpaiguri,3872846,1983064,1889782
WB_Kolkata,4496694,2356766,2139928
WB_Malda,3988845,2051541,1937304
WB_Murshidabad,7103807,3627564,3476243
WB_Nadia,5167600,2653768,2513832
WB_North 24 Parganas,10009781,5119389,4890392
WB_Paschim Medinipur,5913457,3007885,2905572
WB_Purba Medinipur,5095875,2629834,2466041
WB_Purulia,2930115,1496996,1433119
WB_South 24 Parganas,8161961,4173778,3988183
WB_Uttar Dinajpur,3007134,1551066,1456068
